State,Avg_Daily_Distance_(km),Brand,Model,Price_INR,Year_of_Manufacture,Engine_Capacity_cc,Fuel_Type,Mileage_km_per_l,Owner_Type,Registration_Year,Insurance_Status,Seller_Type,Resale_Price_INR,City_Tier
maharashtra,37.16,ktm,duke 200,293741,2024,574,hybrid,79.96,third,2024,active,dealer,149178.28,tier 3
maharashtra,35.21,yamaha,fascino 125,243164,2019,158,electric,83.27,third,2019,active,dealer,126050.87,tier 2
west bengal,75.14,kawasaki,ninja 400,58852,2019,217,electric,88.82,third,2022,active,individual,30188.18,tier 2
delhi,26.14,tvs,ntorq 125,351820,2021,834,hybrid,66.97,third,2021,expired,individual,236315.24,tier 3
karnataka,69.1,honda,shine,128608,2020,293,petrol,49.09,first,2020,not available,dealer,96567.9,tier 3
karnataka,74.69,hero,hf deluxe,346048,2015,678,petrol,46.23,second,2023,not available,dealer,175212.08,tier 3
west bengal,72.02,bajaj,platina 110,85481,2024,337,hybrid,74.58,first,2024,active,individual,42520.39,tier 1
gujarat,28.4,royal enfield,hunter 350,79840,2023,594,hybrid,98.56,first,2023,expired,individual,58209.63,tier 3
punjab,48.22,tvs,ntorq 125,166089,2023,456,electric,66.95,second,2024,not available,individual,127790.92,tier 3
tamil nadu,6.98,kawasaki,ninja 300,163233,2017,456,electric,66.69,first,2017,active,individual,74140.15,tier 2
gujarat,31.27,bajaj,avenger 220,297771,2015,402,electric,64.88,third,2024,active,dealer,153203.27,metro
west bengal,63.04,kawasaki,ninja 300,350461,2021,441,petrol,57.71,second,2021,expired,dealer,247010.68,metro
west bengal,79.54,hero,xtreme 160r,197655,2019,252,petrol,29.79,first,2019,expired,dealer,114063.54,tier 2
rajasthan,57.24,ktm,duke 200,275481,2020,119,petrol,40.8,first,2020,not available,dealer,217624.21,tier 2
gujarat,41.64,kawasaki,ninja 400,312965,2017,802,petrol,33.63,first,2017,active,dealer,241891.54,tier 2
uttar pradesh,52.06,kawasaki,ninja 300,348597,2022,761,petrol,56.06,third,2024,not available,dealer,192401.43,tier 1
karnataka,50.39,hero,passion pro,235585,2017,814,petrol,54.01,first,2017,not available,individual,122542.23,tier 1
rajasthan,50.31,bajaj,ct 100,267779,2023,921,hybrid,88.31,third,2024,expired,dealer,204903.09,tier 3
madhya pradesh,69.13,bajaj,platina 110,136004,2022,232,hybrid,64.05,second,2023,active,dealer,84735.95,metro
gujarat,56.0,royal enfield,classic 350,230194,2019,642,petrol,44.5,second,2023,expired,dealer,157496.89,metro
gujarat,50.23,hero,xtreme 160r,171165,2020,729,petrol,51.89,third,2021,not available,dealer,89654.14,tier 2
karnataka,28.64,bajaj,avenger 220,368428,2023,457,hybrid,91.63,first,2023,not available,dealer,264823.37,tier 3
delhi,33.93,yamaha,r15 v4,289007,2019,536,hybrid,61.5,third,2022,not available,individual,186301.76,metro
madhya pradesh,30.5,kawasaki,vulcan s,236714,2023,977,electric,65.17,third,2023,active,dealer,113434.59,tier 1
tamil nadu,56.72,royal enfield,classic 350,307245,2015,329,petrol,36.13,first,2015,active,dealer,135593.05,tier 2
karnataka,7.39,tvs,jupiter,112019,2022,553,electric,65.84,first,2022,expired,dealer,64540.63,metro
madhya pradesh,77.38,tvs,ntorq 125,69990,2018,486,petrol,54.34,first,2018,not available,individual,47612.68,tier 1
punjab,77.52,bajaj,pulsar 150,221644,2016,452,petrol,28.09,second,2022,not available,individual,99480.08,metro
maharashtra,39.08,royal enfield,hunter 350,346064,2021,835,petrol,47.67,first,2021,not available,individual,138645.53,tier 3
gujarat,35.73,yamaha,ray zr,351565,2015,749,electric,68.23,first,2015,not available,dealer,152014.29,tier 3
rajasthan,44.72,ktm,390 adventure,283576,2023,529,electric,73.91,third,2024,expired,individual,159702.26,tier 3
delhi,17.72,ktm,125 duke,277462,2020,782,petrol,43.72,first,2020,not available,individual,144698.27,tier 1
tamil nadu,58.24,bajaj,dominar 400,87726,2024,943,hybrid,65.83,third,2024,expired,dealer,44181.5,tier 1
maharashtra,39.36,ktm,rc 390,238428,2023,501,petrol,58.19,second,2023,active,individual,131681.26,tier 2
rajasthan,34.81,kawasaki,ninja 300,80550,2016,696,petrol,54.42,first,2016,not available,dealer,37288.93,metro
madhya pradesh,47.35,hero,splendor plus,77837,2024,753,petrol,50.69,first,2024,not available,dealer,42422.31,metro
gujarat,66.23,bajaj,ct 100,269171,2021,757,electric,99.04,first,2021,expired,dealer,171313.31,tier 1
gujarat,28.96,bajaj,ct 100,311371,2021,583,electric,76.25,second,2022,active,dealer,242886.23,tier 1
punjab,61.48,royal enfield,classic 350,343018,2021,409,hybrid,71.18,first,2021,expired,dealer,233731.94,tier 1
maharashtra,47.05,ktm,rc 390,257190,2024,310,electric,91.37,third,2024,active,individual,165949.48,metro
gujarat,45.27,honda,unicorn,380396,2023,330,hybrid,83.73,second,2023,active,dealer,255245.82,metro
tamil nadu,62.65,tvs,jupiter,369216,2020,255,electric,65.93,first,2020,not available,individual,243303.62,tier 2
karnataka,43.95,tvs,apache rtr 160,144565,2024,167,petrol,29.44,first,2024,expired,dealer,86786.8,metro
gujarat,24.73,royal enfield,himalayan,92795,2015,834,electric,87.2,third,2018,not available,individual,46824.97,metro
rajasthan,15.53,hero,hf deluxe,313855,2022,518,electric,67.05,first,2022,active,individual,249975.03,tier 2
madhya pradesh,26.5,bajaj,avenger 220,114965,2017,309,electric,88.82,second,2017,expired,dealer,55073.2,tier 3
delhi,59.98,yamaha,r15 v4,139677,2015,630,electric,73.73,first,2015,expired,individual,67765.76,tier 2
gujarat,39.57,yamaha,mt-15,284385,2021,684,hybrid,91.34,third,2022,active,individual,115128.47,tier 1
maharashtra,67.45,yamaha,r15 v4,86122,2015,863,petrol,26.9,third,2018,active,individual,40894.27,tier 3
karnataka,5.59,ktm,390 adventure,267181,2016,867,petrol,52.71,second,2019,not available,dealer,115569.42,metro
punjab,36.57,yamaha,fascino 125,303600,2021,769,petrol,32.69,third,2021,expired,dealer,137220.69,metro
maharashtra,63.98,ktm,duke 200,133757,2016,278,petrol,32.39,second,2019,active,dealer,82415.94,tier 3
delhi,32.71,tvs,ntorq 125,318006,2015,899,hybrid,82.94,second,2016,active,individual,156253.31,metro
tamil nadu,36.38,yamaha,mt-15,374170,2018,332,petrol,57.85,first,2018,active,individual,285624.51,tier 3
rajasthan,76.41,royal enfield,interceptor 650,59041,2024,364,electric,94.34,first,2024,not available,dealer,43829.52,tier 2
tamil nadu,6.49,tvs,ntorq 125,220783,2019,247,hybrid,73.62,first,2019,expired,dealer,109342.93,metro
delhi,61.79,ktm,rc 390,158811,2017,460,electric,63.06,third,2022,not available,individual,118545.15,tier 2
rajasthan,41.75,ktm,125 duke,128823,2017,997,petrol,37.34,third,2023,expired,dealer,68996.61,metro
punjab,16.57,royal enfield,hunter 350,129339,2017,863,hybrid,77.92,second,2017,not available,individual,91508.53,tier 1
karnataka,77.08,royal enfield,himalayan,176949,2022,332,petrol,59.35,third,2022,expired,individual,106461.88,tier 2
uttar pradesh,9.43,royal enfield,hunter 350,355573,2019,438,hybrid,66.87,third,2020,not available,dealer,225750.48,tier 2
punjab,25.6,kawasaki,ninja 300,252777,2021,595,electric,80.11,third,2023,not available,individual,155802.9,tier 3
karnataka,36.11,honda,activa,155216,2015,825,electric,89.54,second,2018,not available,individual,70788.32,tier 2
west bengal,63.87,kawasaki,z650,195824,2016,490,electric,83.43,third,2021,expired,dealer,140257.89,tier 3
uttar pradesh,8.76,bajaj,platina 110,368458,2015,598,petrol,34.05,first,2015,expired,individual,203323.42,tier 3
rajasthan,24.33,ktm,125 duke,52608,2024,393,petrol,27.51,third,2024,active,dealer,33121.79,metro
uttar pradesh,54.74,bajaj,pulsar 150,241156,2015,478,electric,66.67,first,2015,not available,dealer,99610.41,tier 3
karnataka,75.35,royal enfield,interceptor 650,365106,2022,790,hybrid,62.85,third,2023,expired,dealer,196203.41,tier 3
karnataka,53.51,ktm,125 duke,68292,2015,437,hybrid,93.57,first,2015,expired,dealer,43682.99,tier 2
west bengal,10.06,hero,xtreme 160r,75113,2015,403,electric,99.66,third,2023,expired,individual,46509.9,tier 3
rajasthan,28.4,tvs,ronin,52665,2015,997,petrol,31.97,third,2023,not available,dealer,21814.81,tier 2
delhi,16.86,hero,hf deluxe,274558,2015,395,electric,84.6,second,2022,active,individual,113057.69,tier 1
madhya pradesh,8.64,yamaha,r15 v4,381252,2019,782,hybrid,64.28,first,2019,not available,individual,161145.89,tier 3
karnataka,32.85,ktm,duke 200,311663,2022,981,hybrid,99.65,second,2024,not available,individual,133606.1,tier 1
tamil nadu,46.43,royal enfield,himalayan,61742,2018,915,petrol,25.84,third,2024,expired,individual,39628.51,metro
karnataka,59.95,hero,hf deluxe,202491,2019,954,electric,96.23,first,2019,active,dealer,156829.51,metro
maharashtra,59.42,hero,xtreme 160r,352786,2017,124,electric,72.94,first,2017,active,dealer,185912.7,metro
west bengal,55.32,hero,hf deluxe,224202,2019,452,electric,61.19,first,2019,expired,individual,165872.35,tier 3
madhya pradesh,8.33,honda,cbr 650r,274409,2024,785,petrol,42.7,second,2024,active,dealer,189624.37,tier 3
rajasthan,34.11,bajaj,platina 110,89400,2022,777,petrol,36.44,second,2023,not available,dealer,38334.28,metro
uttar pradesh,24.77,yamaha,fascino 125,210635,2017,283,electric,91.98,third,2023,expired,dealer,125680.31,tier 3
rajasthan,28.17,hero,passion pro,204563,2019,236,hybrid,98.06,first,2019,not available,dealer,121125.05,tier 1
gujarat,35.41,tvs,jupiter,274712,2021,583,petrol,27.13,first,2021,not available,individual,163460.86,tier 1
rajasthan,61.04,royal enfield,meteor 350,92980,2017,454,electric,71.68,second,2022,active,individual,68091.97,metro
punjab,24.66,honda,cbr 650r,370113,2018,436,electric,63.34,third,2024,not available,individual,252559.61,tier 1
tamil nadu,22.62,kawasaki,vulcan s,101198,2018,801,electric,71.9,second,2021,expired,dealer,41557.39,tier 3
punjab,66.81,royal enfield,hunter 350,95269,2020,319,petrol,51.64,second,2020,active,dealer,59950.7,tier 3
maharashtra,33.16,royal enfield,classic 350,52987,2018,774,electric,91.42,first,2018,active,dealer,25042.66,tier 3
karnataka,62.2,yamaha,mt-15,186474,2018,924,electric,86.32,second,2020,active,dealer,140853.19,tier 3
west bengal,64.98,honda,unicorn,311119,2015,417,electric,67.05,second,2016,not available,individual,229998.88,tier 1
rajasthan,56.62,honda,unicorn,360610,2017,108,petrol,56.6,second,2022,active,dealer,172757.5,metro
punjab,12.72,kawasaki,z650,270173,2015,583,electric,76.66,second,2018,active,individual,184574.82,metro
delhi,21.91,kawasaki,vulcan s,176803,2020,504,petrol,39.73,first,2020,expired,individual,130785.94,tier 3
gujarat,15.42,royal enfield,hunter 350,221764,2015,161,electric,79.7,first,2015,expired,individual,99619.15,metro
uttar pradesh,51.97,royal enfield,himalayan,392262,2018,735,electric,87.15,first,2018,expired,dealer,165879.37,tier 3
delhi,29.41,honda,activa,274468,2024,969,hybrid,77.86,second,2024,not available,dealer,203024.94,tier 2
karnataka,14.81,royal enfield,hunter 350,311149,2022,644,hybrid,80.96,second,2023,active,dealer,240614.82,tier 1
gujarat,12.2,royal enfield,himalayan,278934,2020,757,petrol,59.14,third,2023,active,dealer,210935.95,tier 2
delhi,77.88,ktm,125 duke,200947,2023,613,petrol,46.92,second,2023,not available,dealer,104005.02,tier 2
delhi,15.36,honda,dio,200284,2020,427,petrol,32.05,third,2023,active,individual,158734.48,tier 1
delhi,17.93,royal enfield,interceptor 650,178547,2019,276,hybrid,89.5,third,2021,active,dealer,71583.61,tier 1
tamil nadu,65.28,hero,xtreme 160r,67541,2022,924,petrol,49.93,first,2022,active,dealer,48668.39,tier 3
maharashtra,75.3,kawasaki,ninja 400,80147,2021,741,hybrid,93.04,third,2024,active,dealer,61493.67,tier 2
punjab,27.91,hero,passion pro,209523,2020,942,electric,99.9,third,2020,expired,individual,100330.46,metro
rajasthan,45.17,royal enfield,himalayan,393036,2022,295,petrol,44.92,second,2024,active,dealer,289889.86,tier 1
tamil nadu,50.91,yamaha,r15 v4,374594,2023,422,petrol,51.61,first,2023,expired,individual,189731.45,metro
maharashtra,28.67,honda,cbr 650r,320505,2019,927,petrol,53.87,second,2024,not available,individual,215224.07,tier 2
madhya pradesh,76.89,royal enfield,classic 350,115502,2019,422,hybrid,82.78,second,2020,active,individual,80959.08,tier 2
maharashtra,57.26,bajaj,platina 110,247929,2020,319,hybrid,62.2,third,2020,active,individual,190561.88,metro
rajasthan,72.89,tvs,ntorq 125,218776,2024,568,petrol,54.2,first,2024,active,dealer,169308.82,tier 2
delhi,22.53,kawasaki,ninja 400,102220,2023,369,hybrid,83.7,first,2023,active,dealer,69881.87,tier 3
delhi,28.64,ktm,250 duke,233257,2015,570,hybrid,98.44,third,2016,expired,dealer,179660.18,metro
karnataka,40.99,kawasaki,ninja 300,194234,2019,582,electric,76.68,first,2019,expired,dealer,145954.25,tier 3
uttar pradesh,14.5,kawasaki,z650,226473,2020,368,electric,93.99,third,2022,not available,individual,116019.09,tier 3
madhya pradesh,72.33,honda,activa,169289,2023,597,electric,85.4,second,2023,expired,dealer,68410.47,tier 1
karnataka,61.92,honda,activa,347423,2015,201,petrol,28.03,third,2022,expired,dealer,262744.61,tier 1
west bengal,56.6,honda,unicorn,52697,2017,932,hybrid,96.93,second,2024,expired,dealer,41040.35,metro
tamil nadu,43.21,hero,splendor plus,376481,2015,485,hybrid,85.67,second,2024,active,dealer,237190.11,metro
gujarat,24.7,bajaj,platina 110,67859,2018,901,electric,70.63,first,2018,active,individual,45768.04,tier 3
rajasthan,30.96,tvs,apache rtr 160,99932,2021,254,petrol,53.14,third,2021,not available,individual,55735.43,tier 1
delhi,44.5,hero,passion pro,348927,2021,657,hybrid,94.18,first,2021,expired,dealer,193088.5,tier 2
karnataka,26.97,kawasaki,z650,270495,2022,256,hybrid,68.79,first,2022,expired,individual,208192.84,metro
gujarat,5.19,kawasaki,ninja 300,187503,2015,261,electric,76.13,first,2015,not available,individual,121362.78,tier 2
punjab,21.83,ktm,duke 200,177699,2017,163,electric,97.86,first,2017,active,dealer,124299.29,tier 1
punjab,56.05,ktm,250 duke,153025,2017,494,petrol,59.66,second,2024,active,dealer,64655.82,metro
madhya pradesh,77.84,bajaj,platina 110,95870,2021,360,electric,62.88,second,2023,not available,dealer,63766.75,tier 3
karnataka,5.77,tvs,ronin,394917,2022,683,hybrid,67.93,first,2022,not available,dealer,162229.88,tier 1
punjab,32.43,tvs,sport,240827,2019,375,petrol,41.26,second,2020,not available,individual,191424.46,tier 2
punjab,68.68,yamaha,ray zr,199523,2022,357,electric,81.98,first,2022,not available,individual,108115.08,tier 1
madhya pradesh,26.23,royal enfield,meteor 350,351427,2018,337,electric,71.23,first,2018,active,individual,157510.87,tier 2
delhi,11.63,kawasaki,versys 650,357017,2019,713,hybrid,96.85,third,2019,expired,dealer,148777.52,tier 1
madhya pradesh,24.38,yamaha,mt-15,351917,2017,916,hybrid,87.22,second,2018,active,dealer,277337.49,tier 3
karnataka,72.94,ktm,rc 390,265890,2018,275,electric,90.18,first,2018,active,individual,114648.19,tier 2
rajasthan,38.98,kawasaki,versys 650,221895,2022,284,hybrid,71.44,second,2023,not available,dealer,130574.96,metro
madhya pradesh,40.83,royal enfield,interceptor 650,189089,2018,354,petrol,54.92,second,2021,expired,individual,95754.72,tier 1
uttar pradesh,10.53,royal enfield,meteor 350,239282,2021,267,petrol,44.52,second,2024,not available,individual,167000.15,metro
uttar pradesh,43.91,hero,passion pro,327113,2024,501,petrol,43.86,second,2024,expired,individual,223830.21,tier 1
gujarat,5.6,royal enfield,meteor 350,185964,2021,858,electric,70.04,third,2024,active,dealer,100066.24,tier 1
madhya pradesh,71.47,ktm,250 duke,256007,2024,660,hybrid,78.87,third,2024,active,dealer,140801.7,metro
karnataka,41.68,kawasaki,z650,392547,2023,708,electric,76.63,third,2024,expired,dealer,186770.06,metro
punjab,61.12,honda,activa,290626,2016,732,petrol,54.35,second,2022,not available,individual,149969.94,tier 3
gujarat,62.12,hero,glamour,279276,2019,730,electric,75.05,third,2023,active,dealer,197776.91,metro
madhya pradesh,35.13,yamaha,mt-15,326580,2023,460,petrol,41.35,second,2023,not available,individual,141051.33,tier 2
punjab,14.64,hero,xtreme 160r,332911,2021,424,hybrid,90.28,third,2022,expired,individual,250640.0,tier 3
west bengal,30.18,royal enfield,himalayan,218237,2023,978,hybrid,67.83,second,2023,not available,dealer,155049.26,tier 1
tamil nadu,67.37,ktm,rc 390,132009,2022,359,hybrid,80.1,second,2023,active,individual,97394.42,metro
uttar pradesh,69.02,kawasaki,versys 650,285856,2021,997,electric,87.48,third,2021,active,dealer,169488.25,metro
delhi,33.55,yamaha,ray zr,393210,2015,489,petrol,51.14,first,2015,not available,individual,280842.48,tier 2
punjab,61.3,kawasaki,z650,138772,2015,361,petrol,49.29,second,2021,not available,dealer,91501.65,metro
west bengal,24.55,yamaha,mt-15,80359,2020,630,electric,82.89,first,2020,not available,individual,47710.5,tier 2
uttar pradesh,33.33,ktm,rc 390,253552,2016,100,petrol,35.31,third,2023,not available,individual,123681.76,tier 3
west bengal,50.43,kawasaki,ninja 300,134995,2018,381,hybrid,89.73,second,2021,active,dealer,98118.24,tier 1
tamil nadu,75.6,honda,unicorn,364244,2016,832,electric,84.28,first,2016,expired,dealer,256158.05,tier 3
west bengal,39.19,royal enfield,classic 350,215989,2016,766,electric,90.82,third,2024,expired,individual,93619.67,tier 3
west bengal,68.38,ktm,rc 390,159810,2023,725,hybrid,67.66,second,2024,not available,dealer,127825.24,metro
maharashtra,70.93,honda,dio,387540,2024,350,petrol,34.28,first,2024,not available,individual,214775.03,tier 3
gujarat,18.0,tvs,apache rtr 160,226142,2021,839,electric,68.55,third,2024,not available,individual,169717.83,tier 3
madhya pradesh,23.77,yamaha,ray zr,175125,2020,271,hybrid,77.16,first,2020,expired,dealer,78665.53,tier 2
punjab,25.81,ktm,125 duke,195606,2023,858,petrol,26.43,third,2024,expired,individual,109460.56,tier 3
tamil nadu,33.2,honda,dio,83320,2016,244,petrol,31.4,second,2016,active,dealer,35729.76,tier 1
maharashtra,5.33,ktm,125 duke,148679,2019,777,petrol,42.12,first,2019,active,individual,81876.44,tier 3
uttar pradesh,43.38,honda,unicorn,279578,2019,569,electric,77.91,third,2024,active,individual,128730.91,tier 2
rajasthan,44.45,honda,activa,149866,2018,443,electric,90.04,third,2019,not available,individual,69230.14,tier 3
maharashtra,9.34,kawasaki,z650,307851,2023,641,electric,99.78,third,2024,not available,individual,136408.92,tier 3
madhya pradesh,9.05,ktm,rc 390,221020,2017,258,petrol,59.31,second,2024,expired,dealer,111340.16,tier 3
rajasthan,52.43,tvs,apache rtr 160,131130,2018,596,hybrid,90.35,first,2018,expired,individual,80089.51,tier 1
uttar pradesh,35.01,honda,dio,134201,2020,351,electric,75.28,third,2020,expired,dealer,54353.92,tier 1
gujarat,5.49,bajaj,dominar 400,332854,2022,540,hybrid,79.6,first,2022,active,dealer,210951.57,tier 1
karnataka,12.82,honda,dio,150779,2020,797,electric,64.17,second,2020,active,dealer,108620.08,tier 2
madhya pradesh,32.03,royal enfield,interceptor 650,53430,2024,535,hybrid,75.28,first,2024,expired,dealer,36029.92,tier 2
punjab,20.37,tvs,ronin,141440,2019,596,petrol,38.88,first,2019,not available,individual,108852.87,tier 3
madhya pradesh,17.46,bajaj,dominar 400,284433,2023,650,electric,94.12,first,2023,not available,individual,145249.38,tier 3
rajasthan,47.52,ktm,rc 390,129914,2019,982,hybrid,91.33,third,2022,not available,dealer,92917.39,tier 3
uttar pradesh,75.68,hero,hf deluxe,386075,2024,510,electric,89.73,first,2024,expired,dealer,276704.36,metro
rajasthan,7.95,yamaha,fz v3,191953,2020,612,hybrid,72.49,first,2020,not available,dealer,139104.12,tier 3
rajasthan,73.38,ktm,390 adventure,390790,2023,711,petrol,39.26,third,2023,not available,individual,191040.46,tier 2
karnataka,50.86,hero,passion pro,367628,2020,804,hybrid,71.31,second,2023,not available,individual,228549.44,tier 3
punjab,79.81,tvs,jupiter,247206,2021,284,hybrid,94.86,third,2024,not available,dealer,163006.91,tier 2
tamil nadu,22.17,honda,dio,299488,2021,674,electric,90.1,first,2021,not available,individual,232345.36,metro
madhya pradesh,11.83,bajaj,pulsar 150,111427,2018,580,hybrid,73.42,second,2022,not available,dealer,66090.34,metro
uttar pradesh,36.85,royal enfield,himalayan,203925,2015,713,electric,99.78,third,2017,expired,individual,94941.84,tier 2
gujarat,15.07,honda,shine,122064,2020,650,petrol,59.6,first,2020,expired,dealer,76695.44,tier 3
uttar pradesh,59.41,bajaj,ct 100,192922,2016,732,petrol,27.77,first,2016,not available,dealer,128816.09,tier 1
west bengal,30.53,yamaha,mt-15,232429,2016,217,petrol,39.21,third,2020,active,individual,107519.35,tier 3
maharashtra,73.77,yamaha,fascino 125,57324,2020,866,electric,72.31,first,2020,active,individual,44355.54,tier 1
uttar pradesh,22.0,hero,passion pro,193758,2016,951,petrol,26.62,second,2017,active,dealer,77891.66,metro
west bengal,30.91,hero,glamour,98773,2020,858,electric,84.54,first,2020,not available,individual,60348.67,tier 1
uttar pradesh,74.38,kawasaki,ninja 400,368321,2018,700,petrol,46.52,third,2020,active,individual,226572.78,metro
west bengal,57.2,honda,shine,344616,2024,722,petrol,37.43,first,2024,expired,dealer,190078.94,tier 3
tamil nadu,69.98,royal enfield,hunter 350,216113,2017,501,electric,77.83,second,2024,expired,individual,89151.83,tier 2
punjab,5.22,ktm,390 adventure,286670,2020,717,electric,74.57,third,2021,expired,dealer,170160.5,tier 3
tamil nadu,48.22,hero,splendor plus,320381,2018,489,electric,70.45,third,2019,active,dealer,169208.0,tier 3
maharashtra,16.03,yamaha,fz v3,226677,2019,1000,petrol,59.37,first,2019,active,individual,155847.73,tier 1
tamil nadu,53.13,royal enfield,meteor 350,56391,2015,832,hybrid,99.29,third,2019,expired,dealer,30574.39,tier 2
maharashtra,55.23,yamaha,ray zr,318244,2024,303,electric,92.68,second,2024,active,dealer,198525.23,tier 3
madhya pradesh,53.82,kawasaki,vulcan s,177451,2016,961,petrol,52.86,third,2020,active,individual,133555.31,tier 1
punjab,56.8,hero,glamour,143192,2023,933,petrol,53.72,first,2023,active,dealer,92622.07,tier 3
delhi,77.46,tvs,ntorq 125,348910,2024,765,electric,91.63,second,2024,expired,individual,212711.83,tier 3
madhya pradesh,74.82,honda,cbr 650r,301933,2016,454,hybrid,78.26,third,2022,active,individual,186148.85,tier 2
gujarat,40.4,bajaj,dominar 400,362812,2016,606,hybrid,78.2,third,2024,not available,individual,231215.03,tier 2
karnataka,22.3,hero,xtreme 160r,78640,2015,592,hybrid,81.22,second,2015,not available,dealer,49424.84,metro
west bengal,26.59,yamaha,ray zr,254622,2019,242,petrol,39.19,first,2019,not available,dealer,128567.32,tier 1
maharashtra,75.04,royal enfield,hunter 350,219423,2016,102,hybrid,70.22,first,2016,expired,individual,133870.31,tier 3
karnataka,42.27,royal enfield,himalayan,79639,2016,826,hybrid,81.71,first,2016,not available,dealer,44846.1,tier 3
karnataka,64.22,royal enfield,meteor 350,125088,2020,634,hybrid,84.76,first,2020,expired,individual,84091.63,metro
rajasthan,21.13,bajaj,platina 110,341938,2023,855,hybrid,68.42,third,2024,active,dealer,145893.67,tier 3
west bengal,10.36,ktm,125 duke,395609,2016,135,petrol,43.7,second,2020,expired,individual,311653.6,metro
maharashtra,63.64,tvs,ronin,59235,2015,993,petrol,45.23,first,2015,active,individual,27486.0,tier 1
uttar pradesh,35.95,bajaj,ct 100,67971,2015,578,hybrid,72.1,third,2023,active,dealer,50492.57,metro
uttar pradesh,61.83,hero,glamour,101984,2017,896,electric,99.01,second,2024,not available,individual,72434.31,tier 2
maharashtra,69.21,yamaha,ray zr,84017,2018,302,petrol,50.1,second,2024,not available,dealer,54916.95,tier 1
rajasthan,63.67,yamaha,fascino 125,365427,2024,888,electric,86.68,second,2024,not available,individual,279626.41,tier 1
tamil nadu,54.06,ktm,rc 390,272795,2019,758,electric,90.88,second,2021,expired,dealer,194603.43,tier 3
maharashtra,15.95,bajaj,avenger 220,227757,2021,542,petrol,32.05,first,2021,expired,dealer,118668.34,tier 1
madhya pradesh,44.47,honda,dio,147277,2021,149,petrol,46.37,first,2021,active,individual,80731.31,tier 1
maharashtra,24.28,kawasaki,ninja 300,132798,2024,264,hybrid,86.9,second,2024,expired,dealer,57829.48,tier 2
rajasthan,47.46,royal enfield,interceptor 650,331886,2015,113,hybrid,82.29,first,2015,expired,individual,208376.4,tier 2
west bengal,49.78,honda,shine,364886,2017,419,hybrid,97.8,second,2019,active,dealer,184459.2,metro
rajasthan,29.76,ktm,125 duke,316986,2023,531,hybrid,86.85,second,2023,active,dealer,141037.2,tier 1
madhya pradesh,71.08,ktm,390 adventure,325983,2024,417,hybrid,75.64,first,2024,expired,individual,135568.44,metro
maharashtra,60.63,yamaha,fz v3,386607,2018,917,electric,95.13,third,2024,expired,individual,222851.98,tier 1
tamil nadu,61.93,kawasaki,ninja 300,351364,2022,616,petrol,41.59,third,2023,expired,individual,188383.57,tier 3
uttar pradesh,14.25,tvs,ntorq 125,207602,2016,140,electric,63.03,second,2022,expired,individual,111719.1,tier 3
west bengal,20.86,kawasaki,versys 650,254456,2020,974,petrol,46.95,second,2020,not available,individual,195164.74,tier 3
maharashtra,38.16,tvs,ntorq 125,219182,2024,731,hybrid,72.47,second,2024,not available,dealer,169050.21,tier 3
madhya pradesh,73.13,hero,glamour,378391,2024,129,hybrid,68.81,second,2024,not available,dealer,274749.14,metro
rajasthan,12.27,tvs,ntorq 125,290595,2021,316,electric,95.77,third,2021,not available,individual,173216.16,metro
delhi,76.29,kawasaki,ninja 300,134405,2017,989,petrol,34.79,first,2017,active,dealer,75389.44,tier 1
karnataka,26.51,yamaha,fascino 125,251359,2015,883,petrol,28.44,first,2015,expired,individual,132031.18,metro
west bengal,15.74,ktm,390 adventure,122289,2018,743,petrol,52.64,first,2018,expired,individual,83035.03,tier 2
madhya pradesh,42.87,yamaha,mt-15,155016,2020,336,petrol,33.13,second,2021,expired,dealer,71379.42,tier 3
madhya pradesh,19.81,hero,hf deluxe,244425,2017,493,electric,95.78,third,2022,not available,individual,184807.23,tier 1
delhi,8.96,royal enfield,hunter 350,214715,2024,469,hybrid,67.19,second,2024,not available,dealer,103645.65,tier 2
delhi,41.97,yamaha,fascino 125,322502,2019,803,petrol,44.18,first,2019,active,dealer,234047.32,tier 2
maharashtra,43.84,royal enfield,himalayan,205310,2023,227,petrol,27.45,third,2024,not available,dealer,161235.58,tier 3
rajasthan,74.88,tvs,ronin,287680,2015,280,hybrid,65.52,second,2021,expired,individual,134027.85,metro
gujarat,13.16,royal enfield,interceptor 650,336431,2019,354,hybrid,76.79,third,2023,active,individual,147155.4,tier 1
uttar pradesh,77.2,royal enfield,hunter 350,203048,2021,398,electric,90.19,first,2021,active,dealer,133152.74,metro
tamil nadu,74.35,yamaha,mt-15,184636,2022,418,petrol,35.38,first,2022,not available,individual,111548.68,metro
karnataka,73.96,ktm,duke 200,393091,2022,745,electric,70.18,third,2023,not available,individual,197439.13,metro
rajasthan,41.84,kawasaki,versys 650,200982,2023,985,hybrid,69.34,second,2023,not available,individual,86155.23,tier 1
gujarat,70.83,bajaj,platina 110,366567,2019,807,electric,97.48,second,2023,active,individual,253162.95,tier 3
rajasthan,44.67,bajaj,pulsar 150,394291,2018,897,hybrid,74.4,first,2018,active,dealer,257446.59,tier 2
madhya pradesh,57.46,royal enfield,himalayan,388196,2023,593,petrol,37.39,second,2023,expired,dealer,190894.02,tier 1
rajasthan,57.12,hero,hf deluxe,175457,2020,212,petrol,34.08,second,2022,not available,individual,126203.63,metro
